Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
133,AMIGUET Fridolin *,2,41.356,"['0:53.832', '4:30.564', '5:10.549', '5:45.789', '6:14.152']",0:53.832,4:30.564,5:10.549,5:45.789,6:14.152,53.832,270.564,310.549,345.789,374.152,"[53.832, 216.73200000000003, 39.98499999999996, 35.24000000000001, 28.363]",53.832,216.73200000000003,39.98499999999996,35.24000000000001,28.363,287,171,139,139,138,287,174,181,284,266,270,320.32,103.58799999999997,63.60300000000001,28.363,139,182,264,266
133,AMIGUET Fridolin *,3,41.958,"['0:53.197', '8:20.854', '11:16.078', '11:50.718', '12:20.226', '6:14.152', '6:14.152', '6:14.152', '6:14.152']",0:53.197,8:20.854,11:16.078,11:50.718,12:20.226,53.197,500.854,676.078,710.718,740.226,"[53.197, 447.657, 175.224, 34.639999999999986, 29.508000000000038, -366.074, 0.0, 0.0, 0.0]",53.197,447.657,175.224,34.639999999999986,29.508000000000038,276,284,243,242,237,276,287,252,268,289,252,687.029,239.372,64.14800000000002,29.508000000000038,239,233,271,289
39,PIERRON Antoine,1,43.769,"['0:50.228', '7:43.815', '17:11.022', '17:44.650', '18:11.026']",0:50.228,7:43.815,17:11.022,17:44.650,18:11.026,50.228,463.815,1031.022,1064.65,1091.026,"[50.228, 413.587, 567.2069999999999, 33.628000000000156, 26.375999999999976]",50.228,413.587,567.2069999999999,33.628000000000156,26.375999999999976,148,275,288,287,278,148,283,299,219,150,92,1040.798,627.211,60.00400000000013,26.375999999999976,278,283,182,150
39,PIERRON Antoine,2,42.73,"['4:36.301', '5:14.555', '5:48.724', '6:14.680']",4:36.301,5:14.555,5:48.724,6:14.680,,276.301,314.555,348.724,374.68,,"[276.301, 38.25400000000002, 34.16899999999998, 25.956000000000017, None]",276.301,38.25400000000002,34.16899999999998,25.956000000000017,,340,208,162,158,327,340,6,18,11,327,187,,,,,327,327,327,327
39,PIERRON Antoine,3,44.335,"['2:31.472', '7:12.365', '19:59.694', '20:32.845', '20:57.028', '6:14.680', '6:14.680', '6:14.680', '6:14.680']",2:31.472,7:12.365,19:59.694,20:32.845,20:57.028,151.472,432.365,1199.694,1232.845,1257.028,"[151.472, 280.89300000000003, 767.329, 33.15100000000007, 24.182999999999993, -882.348, 0.0, 0.0, 0.0]",151.472,280.89300000000003,767.329,33.15100000000007,24.182999999999993,315,267,306,303,294,315,232,308,167,27,49,1105.556,824.663,57.33400000000006,24.182999999999993,286,294,51,27
135,FERGUSON Angus *,1,41.002,"['0:53.780', '4:32.353', '5:13.704', '5:48.526', '6:16.223', '0:55.017', '6:16.223', '6:16.223', '6:16.223', '6:16.223']",0:53.780,4:32.353,5:13.704,5:48.526,6:16.223,53.78,272.353,313.704,348.526,376.223,"[53.78, 218.573, 41.351, 34.822, 27.697000000000003, -321.206, 321.206, 0.0, 0.0, 0.0]",53.78,218.573,41.351,34.822,27.697000000000003,284,176,144,144,141,284,177,203,273,244,282,322.443,103.87,62.519000000000005,27.697000000000003,142,186,249,244
135,FERGUSON Angus *,2,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,343,343,342,341,327,343,343,342,341,327,343,,,,,327,327,327,327
135,FERGUSON Angus *,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,343,343,342,341,327,343,343,342,341,327,343,,,,,327,327,327,327
113,RAINIO Onni *,1,43.062,"['0:51.233', '7:02.304', '14:38.131', '15:11.523', '15:38.624']",0:51.233,7:02.304,14:38.131,15:11.523,15:38.624,51.233,422.304,878.131,911.523,938.624,"[51.233, 371.07099999999997, 455.827, 33.39200000000005, 27.101]",51.233,371.07099999999997,455.827,33.39200000000005,27.101,205,264,277,277,269,205,271,288,192,213,152,887.3910000000001,516.32,60.49300000000005,27.101,270,271,198,213
113,RAINIO Onni *,2,29.376,"['0:49.220', '2:48.085', '3:46.345', '5:20.353', '6:16.915']",0:49.220,2:48.085,3:46.345,5:20.353,6:16.915,49.22,168.085,226.345,320.353,376.915,"[49.22, 118.86500000000001, 58.25999999999999, 94.00800000000001, 56.56200000000001]",49.22,118.86500000000001,58.25999999999999,94.00800000000001,56.56200000000001,69,51,97,130,142,69,65,210,324,321,327,327.69500000000005,208.83,150.57000000000002,56.56200000000001,145,225,312,321
