Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
143,COUTTS Darcy,3,53.058,"['0:35.961', '1:29.520', '8:57.299', '9:37.928', '10:12.005', '7:02.359', '7:02.359', '7:02.359', '7:02.359']",0:35.961,1:29.520,8:57.299,9:37.928,10:12.005,35.961,89.52,537.299,577.928,612.005,"[35.961, 53.559, 447.779, 40.62900000000002, 34.077, -189.64600000000002, 0.0, 0.0, 0.0]",35.961,53.559,447.779,40.62900000000002,34.077,179,111,288,250,230,179,140,349,133,101,92,576.044,522.485,74.70600000000002,34.077,233,267,100,101
117,CONNELLY Jackson *,1,48.78,"['0:51.340', '9:42.514', '10:17.106']",0:51.340,9:42.514,10:17.106,,,51.34,582.514,617.106,,,"[51.34, 531.174, 34.591999999999985, None, None]",51.34,531.174,34.591999999999985,,,333,366,309,354,317,333,369,2,354,317,357,,,,,317,317,317,317
117,CONNELLY Jackson *,2,52.061,"['0:36.100', '1:32.193', '5:50.274', '6:31.591', '7:05.730']",0:36.100,1:32.193,5:50.274,6:31.591,7:05.730,36.1,92.193,350.274,391.591,425.73,"[36.1, 56.092999999999996, 258.081, 41.31700000000001, 34.13900000000001]",36.1,56.092999999999996,258.081,41.31700000000001,34.13900000000001,194,138,181,147,140,194,169,268,148,112,179,389.63,333.53700000000003,75.45600000000002,34.13900000000001,145,191,121,112
117,CONNELLY Jackson *,3,52.98,"['0:35.374', '18:40.832', '29:21.209', '32:35.889', '33:09.659', '7:05.730', '7:05.730', '7:05.730', '7:05.730']",0:35.374,18:40.832,29:21.209,32:35.889,33:09.659,35.374,1120.832,1761.209,1955.889,1989.659,"[35.374, 1085.458, 640.377, 194.67999999999984, 33.77000000000021, -1563.929, 0.0, 0.0, 0.0]",35.374,1085.458,640.377,194.67999999999984,33.77000000000021,116,384,377,351,315,116,384,373,313,73,97,1954.285,868.827,228.45000000000005,33.77000000000021,315,307,278,73
85,INIGUEZ Matteo,1,54.054,"['0:36.197', '2:14.835', '4:43.827', '6:33.022', '7:06.029']",0:36.197,2:14.835,4:43.827,6:33.022,7:06.029,36.197,134.835,283.827,393.022,426.029,"[36.197, 98.638, 148.992, 109.195, 33.007000000000005]",36.197,98.638,148.992,109.195,33.007000000000005,208,198,115,150,141,208,216,139,267,27,36,389.832,291.19399999999996,142.202,33.007000000000005,146,151,237,27
85,INIGUEZ Matteo,2,48.518,"['0:34.597', '2:32.040', '9:21.565', '10:01.647', '10:36.905']",0:34.597,2:32.040,9:21.565,10:01.647,10:36.905,34.597,152.04,561.565,601.647,636.905,"[34.597, 117.44299999999998, 409.5250000000001, 40.081999999999994, 35.257999999999925]",34.597,117.44299999999998,409.5250000000001,40.081999999999994,35.257999999999925,57,214,298,255,234,57,241,342,119,210,363,602.308,484.865,75.33999999999992,35.257999999999925,238,263,119,210
85,INIGUEZ Matteo,3,51.539,"['2:26.527', '3:15.223', '7:48.450', '8:26.939', '9:01.745', '7:06.029', '7:06.029', '7:06.029', '7:06.029']",2:26.527,3:15.223,7:48.450,8:26.939,9:01.745,146.527,195.223,468.45,506.939,541.745,"[146.527, 48.696000000000026, 273.227, 38.48900000000003, 34.80599999999998, -115.71600000000001, 0.0, 0.0, 0.0]",146.527,48.696000000000026,273.227,38.48900000000003,34.80599999999998,367,253,258,218,204,367,27,284,69,166,219,395.218,346.522,73.29500000000002,34.80599999999998,152,208,76,166
125,DICKERSON Bryn,1,49.793,"['0:36.618', '2:14.849', '5:45.541', '8:17.371', '8:52.486']",0:36.618,2:14.849,5:45.541,8:17.371,8:52.486,36.618,134.849,345.541,497.371,532.486,"[36.618, 98.231, 210.692, 151.82999999999998, 35.11500000000001]",36.618,98.231,210.692,151.82999999999998,35.11500000000001,232,199,174,214,199,232,215,224,291,195,330,495.868,397.637,186.945,35.11500000000001,207,234,258,195
125,DICKERSON Bryn,2,50.704,"['0:36.303', '2:53.623', '5:31.710', '6:32.936', '7:07.737']",0:36.303,2:53.623,5:31.710,6:32.936,7:07.737,36.303,173.623,331.71,392.936,427.737,"[36.303, 137.32, 158.087, 61.226, 34.801000000000045]",36.303,137.32,158.087,61.226,34.801000000000045,217,235,157,149,142,217,261,149,219,165,271,391.434,254.11400000000003,96.02700000000004,34.801000000000045,147,117,199,165
125,DICKERSON Bryn,3,50.35,"['0:36.130', '6:22.146', '12:31.773', '15:03.680', '15:38.942', '7:07.737', '7:07.737', '7:07.737', '7:07.737']",0:36.130,6:22.146,12:31.773,15:03.680,15:38.942,36.13,382.146,751.773,903.68,938.942,"[36.13, 346.016, 369.627, 151.90699999999993, 35.26200000000006, -511.205, 0.0, 0.0, 0.0]",36.13,346.016,369.627,151.90699999999993,35.26200000000006,198,334,341,313,282,198,344,331,292,211,302,902.812,556.796,187.16899999999998,35.26200000000006,286,272,260,211
