rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
38,,41,PONTVIANNE Nathan *,GOODMAN SANTACRUZ,10057982944,FRA,2005,55.004,35,3:59.598,+15.286,22,0:47.908,20,00:47.908000,1:57.180,49,01:09.272000,2:47.950,46,00:50.770000,3:23.852,43,00:35.902000,20,51,16,10,00:35.746000,14
39,,133,MARTIN Loïc *,N/A,10074524373,FRA,2004,54.484,40,3:59.688,+15.376,21,0:50.750,55,00:50.750000,1:53.962,43,01:03.212000,2:46.348,42,00:52.386000,3:23.148,40,00:36.800000,54,33,37,29,00:36.540000,32
40,,67,ZWAR Oliver,CANYON CLLCTV FMD,10008106857,SWE,1995,53.353,50,3:59.717,+15.405,20,0:48.582,27,00:48.582000,1:51.626,28,01:03.044000,2:43.839,32,00:52.213000,3:21.356,33,00:37.517000,27,30,35,43,00:38.361000,52
41,,54,SLACK Dan *,POLE FACTORY RACING,10088103464,GBR,2002,54.115,44,4:00.272,+15.960,19,0:48.417,23,00:48.417000,1:51.170,24,01:02.753000,2:43.659,29,00:52.489000,3:22.903,39,00:39.244000,23,27,40,53,00:37.369000,46
42,,70,WILLIAMSON Matthew Luke *,TRIPLE FIVE RACING,10061878809,GBR,2002,56.250,21,4:00.472,+16.160,18,0:49.862,47,00:49.862000,1:52.948,36,01:03.086000,2:46.108,41,00:53.160000,3:23.657,42,00:37.549000,46,32,46,44,00:36.815000,36
43,,50,LEVESQUE Dylan,SCOTT DOWNHILL FACTORY,10008831731,FRA,1996,56.184,24,4:00.507,+16.195,17,0:48.840,34,00:48.840000,1:53.196,37,01:04.356000,2:45.724,40,00:52.528000,3:23.618,41,00:37.894000,34,42,41,47,00:36.889000,37
44,,126,CRUZ Tegan *,KENDA NS BIKES UR TEAM,10051476062,CAN,2005,54.360,41,4:01.911,+17.599,16,0:50.084,49,00:50.084000,1:54.122,44,01:04.038000,2:47.712,45,00:53.590000,3:24.904,44,00:37.192000,48,40,49,39,00:37.007000,41
45,,56,VIEIRA Douglas,N/A,10010126679,BRA,1998,54.278,42,4:03.235,+18.923,15,0:49.182,38,00:49.182000,1:54.275,45,01:05.093000,2:47.172,44,00:52.897000,3:26.096,45,00:38.924000,38,47,44,52,00:37.139000,43
46,,59,BRAYTON Adam,BNC RACING,10005386110,GBR,1988,53.294,52,4:03.570,+19.258,14,0:50.422,54,00:50.422000,1:55.421,48,01:04.999000,2:48.649,47,00:53.228000,3:26.508,46,00:37.859000,53,46,47,46,00:37.062000,42
47,,118,GRISEL Léo *,N/A,10069990332,FRA,2002,53.751,48,4:05.150,+20.838,13,0:50.325,51,00:50.325000,1:54.384,46,01:04.059000,2:49.328,48,00:54.944000,3:27.414,47,00:38.086000,50,41,51,48,00:37.736000,50
48,,187,VERNON Taylor,ZERODE RACING,10008728667,GBR,1996,54.711,38,4:06.594,+22.282,12,0:49.723,44,00:49.723000,1:59.819,51,01:10.096000,2:52.903,50,00:53.084000,3:29.936,48,00:37.033000,44,52,45,36,00:36.658000,34
49,,96,SMESTAD Simen,N/A,10010119811,NOR,1998,54.054,45,4:07.634,+23.322,11,0:50.348,52,00:50.348000,1:53.925,42,01:03.577000,2:46.527,43,00:52.602000,3:30.049,49,00:43.522000,51,37,42,56,00:37.585000,47
50,,60,DICKSON Jacob,MS INTENSE RACING,10009453642,IRL,1997,51.986,55,4:07.835,+23.523,10,0:49.614,41,00:49.614000,1:58.092,50,01:08.478000,2:52.614,49,00:54.522000,3:30.176,50,00:37.562000,41,50,50,45,00:37.659000,49
51,,63,LALY Thibault,GOODMAN SANTACRUZ,10009533464,FRA,1997,54.217,43,4:12.709,+28.397,5,0:48.486,25,00:48.486000,2:02.154,52,01:13.668000,2:55.491,51,00:53.337000,3:34.146,51,00:38.655000,25,54,48,50,00:38.563000,53
52,,76,BANDEIRA Gonçalo *,SCOTT DOWNHILL FACTORY,10054661096,POR,2002,52.516,53,4:22.569,+38.257,5,0:57.104,56,00:57.104000,2:07.616,54,01:10.512000,3:04.798,52,00:57.182000,3:44.306,52,00:39.508000,55,53,52,54,00:38.263000,51
53,,90,VIEIRA Roger,N/A,10009164258,BRA,1994,50.017,56,4:38.360,+54.048,5,0:50.269,50,00:50.269000,2:11.758,55,01:21.489000,3:19.899,53,01:08.141000,3:58.726,53,00:38.827000,49,56,54,51,00:39.634000,54
54,,40,SUAREZ ALONSO Angel,FRAMEWORKS RACING,10008831529,ESP,1995,58.513,4,4:41.542,+57.230,5,0:47.362,9,00:47.362000,1:47.542,4,01:00.180000,3:29.810,55,01:42.268000,4:05.306,54,00:35.496000,9,4,56,4,00:36.236000,23
55,,42,KERR Henry,CANYON CLLCTV PIRELLI,10023914524,IRL,2000,53.314,51,4:46.795,+1:02.483,5,1:26.913,57,01:26.913000,2:31.476,56,01:04.563000,3:28.816,54,00:57.340000,4:07.019,55,00:38.203000,56,44,53,49,00:39.776000,55
56,P,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,52.250,54,5:00.976,+1:16.664,5,0:47.454,10,00:47.454000,2:03.327,53,01:15.873000,3:37.304,56,01:33.977000,4:18.636,56,00:41.332000,10,55,55,55,00:42.340000,56
