rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
75,,151,STEAD Hayden,N/A,10010627039,NZL,1997,53.973,73,4:10.244,+20.826,-,0:51.478,83,00:51.478000,1:57.903,77,01:06.425000,2:53.430,76,00:55.527000,3:32.179,76,00:38.749000,82,72,87,66,00:38.065000,83
76,,81,MAURER Simon,N/A,10048586573,GER,2000,53.492,88,4:10.644,+21.226,-,0:51.802,91,00:51.802000,1:58.307,80,01:06.505000,2:53.345,75,00:55.038000,3:32.690,77,00:39.345000,89,73,76,80,00:37.954000,82
77,,99,KIRK Rory *,N/A,10104783323,RSA,2003,53.711,81,4:11.103,+21.685,-,0:52.611,102,00:52.611000,2:00.583,95,01:07.972000,2:55.316,84,00:54.733000,3:33.338,78,00:38.022000,98,91,73,50,00:37.765000,73
78,,109,SHERLOCK Seth *,GWIN RACING,10050754929,CAN,2002,53.611,84,4:11.205,+21.787,-,0:50.852,70,00:50.852000,1:55.831,53,01:04.979000,2:49.343,52,00:53.512000,3:28.303,54,00:38.960000,69,49,55,71,00:42.902000,136
79,,123,LEHMANN Lino *,GAMUX FACTORY RACING,10094455247,SUI,2002,56.382,10,4:11.427,+22.009,-,0:51.791,90,00:51.791000,1:59.338,89,01:07.547000,2:54.211,81,00:54.873000,3:33.952,80,00:39.741000,88,87,75,89,00:37.475000,60
80,,121,MACDONALD Brook,FORBIDDEN SYNTHESIS TEAM,10006429969,NZL,1991,54.484,56,4:11.694,+22.276,-,0:50.681,65,00:50.681000,1:59.888,91,01:09.207000,2:55.256,83,00:55.368000,3:34.146,81,00:38.890000,64,106,81,70,00:37.548000,63
81,,153,WALKER Matthew,PIVOT FACTORY RACING,10005838875,NZL,1990,55.728,22,4:11.909,+22.491,-,0:50.934,71,00:50.934000,1:58.295,79,01:07.361000,2:53.751,79,00:55.456000,3:33.749,79,00:39.998000,70,81,83,96,00:38.160000,85
82,,112,CONNELLY Jackson *,TEAM HIGH COUNTRY,10114106942,AUS,2004,55.491,29,4:12.365,+22.947,-,0:52.034,95,00:52.034000,2:00.495,94,01:08.461000,2:55.612,87,00:55.117000,3:34.594,83,00:38.982000,92,97,79,72,00:37.771000,74
83,,141,MULALLY Neko,FRAMEWORKS RACING,10007287613,USA,1993,55.814,19,4:13.269,+23.851,-,0:50.643,64,00:50.643000,1:57.421,70,01:06.778000,2:53.487,77,00:56.066000,3:34.429,82,00:40.942000,63,77,95,106,00:38.840000,98
84,,88,BERGINC Luka,N/A,10009441417,SLO,1997,53.912,74,4:13.358,+23.940,-,0:51.507,85,00:51.507000,1:59.241,87,01:07.734000,2:55.324,85,00:56.083000,3:35.262,84,00:39.938000,84,88,96,94,00:38.096000,84
85,,135,MACDERMID James *,THE ALLIANCE,10022172766,NZL,2003,52.689,105,4:13.488,+24.070,-,0:53.786,122,00:53.786000,2:03.496,114,01:09.710000,2:57.321,91,00:53.825000,3:35.860,88,00:38.539000,118,114,60,60,00:37.628000,65
86,,120,WILLIAMS Preston *,THE ALLIANCE,10088217743,GBR,2003,53.591,86,4:13.623,+24.205,-,0:50.447,59,00:50.447000,1:57.661,74,01:07.214000,2:53.556,78,00:55.895000,3:35.821,86,00:42.265000,58,79,93,117,00:37.802000,76
87,,93,ROJCEK Adam,N/A,10010032612,SVK,1998,54.054,69,4:13.730,+24.312,-,0:53.165,115,00:53.165000,2:00.386,93,01:07.221000,2:55.427,86,00:55.041000,3:35.845,87,00:40.418000,111,80,77,103,00:37.885000,80
88,,47,GREENLAND Laurie,SANTA CRUZ SYNDICATE,10009404738,GBR,1997,52.709,102,4:14.010,+24.592,-,0:52.385,98,00:52.385000,2:01.042,98,01:08.657000,2:56.522,88,00:55.480000,3:35.693,85,00:39.171000,95,100,84,77,00:38.317000,90
89,,136,MOLLOY Harry,CONTINENTAL GT RACING,10006816454,GBR,1991,54.857,46,4:14.575,+25.157,-,0:52.065,96,00:52.065000,2:01.016,97,01:08.951000,2:56.586,89,00:55.570000,3:36.747,90,00:40.161000,93,101,89,100,00:37.828000,77
90,,107,BRANNIGAN George,KENDA NS BIKES UR TEAM,10006834339,NZL,1992,53.812,78,4:15.483,+26.065,-,0:50.519,61,00:50.519000,1:58.867,84,01:08.348000,2:54.777,82,00:55.910000,3:36.439,89,00:41.662000,60,95,94,110,00:39.044000,100
91,,46,DOOLEY Austin *,COMMENCAL / SCHWALBE,10087908151,USA,2002,54.899,43,4:15.697,+26.279,-,0:49.262,24,00:49.262000,1:55.949,56,01:06.687000,3:00.792,108,01:04.843000,3:38.850,95,00:38.058000,24,75,126,53,00:36.847000,38
92,,172,INIGUEZ Raphael *,COMMENCAL ICSTUDIO,10066506113,FRA,2003,52.883,99,4:16.145,+26.727,-,0:51.600,88,00:51.600000,2:01.192,102,01:09.592000,2:57.786,93,00:56.594000,3:37.662,92,00:39.876000,86,111,100,93,00:38.483000,94
93,,106,ZOTOS Sokratis *,PROPAIN POSITIVE,10116743625,GRE,2004,53.215,95,4:16.561,+27.143,-,0:53.789,123,00:53.789000,2:01.947,107,01:08.158000,2:57.494,92,00:55.547000,3:37.444,91,00:39.950000,119,93,88,95,00:39.117000,102
94,,124,GOODWILL Douglas *,TRIPLE FIVE RACING,10082199194,GBR,2004,53.235,94,4:16.622,+27.204,-,0:52.752,106,00:52.752000,2:01.068,99,01:08.316000,2:58.517,96,00:57.449000,3:38.305,94,00:39.788000,102,94,103,90,00:38.317000,90
