Perfect Run Rank,Number,Name,Speed,Speed Rank,Run,Split 1,Split 2,Split 3,Split 4,Split 5,Split 1 Rank,Split 2 Rank,Split 3 Rank,Split 4 Rank,Split 5 Rank,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 1 Rank,Sector 2 Rank,Sector 3 Rank,Sector 4 Rank,Sector 5 Rank,Cumulative From Split 1,Cumulative From Split 2,Cumulative From Split 3,Cumulative From Split 4,Cumulative From Split 1 Rank,Cumulative From Split 2 Rank,Cumulative From Split 3 Rank,Cumulative From Split 4 Rank
75,81,MARINI Hugo * (FRA),38.882,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,48,CRAIK George Ethan * (GBR),39.128,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,55,WALLACE Mark (CAN),37.874,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,71,A'HERN Kye (AUS),16.316,87,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4,PIERRON Amaury (FRA),39.945,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,53,PIERCY Jack * (GBR),37.58,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,95,MUÑOZ Fernando Juan * (COL),39.828,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,36,JEWETT Jakob * (CAN),38.898,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,33,CONNELLY Jackson * (AUS),20.803,82,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,41,GRISEL Léo (FRA),19.933,83,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,9,COULANGES Benoit (FRA),38.484,43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,88,FAYOLLE Alexandre (FRA),13.518,89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,57,STEINER Julian (GER),28.071,71,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,39,DAVIS Oliver * (AUS),27.978,72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,101,MASTERS Wyn (NZL),18.089,85,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,97,BAECHLER Nicolas * (SUI),12.018,91,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,66,KOLB Andreas (AUT),39.757,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,96,OSTFELD Roee * (ISR),36.024,62,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
