rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
1,,19,PIERRON Antoine,COMMENCAL SCHWALBE BY LES ORRES,10011102844,FRA,1999,60.335,11,3:42.995,+0.000,-,0:43.381,5,00:43.381000,1:41.504,1,00:58.123000,2:26.022,1,00:44.518000,2:58.716,1,00:32.694000,5,1,1,4,00:44.279000,7
2,,95,MUÑOZ Fernando Juan *,AXESS INTENSE FACTORY RACING,10083364208,COL,2003,58.781,23,3:45.412,+2.417,-,0:43.169,2,00:43.169000,1:42.230,3,00:59.061000,2:27.262,2,00:45.032000,3:00.606,2,00:33.344000,2,5,5,11,00:44.806000,20
3,,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,59.167,18,3:45.426,+2.431,-,0:43.306,4,00:43.306000,1:42.483,4,00:59.177000,2:27.538,3,00:45.055000,3:01.071,4,00:33.533000,4,6,6,15,00:44.355000,10
4,,44,HAUSER Christian *,TREK FACTORY RACING DH,10093968631,ITA,2006,60.380,10,3:45.754,+2.759,-,0:44.217,18,00:44.217000,1:43.943,13,00:59.726000,2:28.872,6,00:44.929000,3:01.521,5,00:32.649000,17,11,4,3,00:44.233000,5
5,,18,BREEDEN Joe,AXESS INTENSE FACTORY RACING,10011005743,GBR,1999,57.386,40,3:46.045,+3.050,-,0:44.042,16,00:44.042000,1:43.711,9,00:59.669000,2:28.541,4,00:44.830000,3:01.066,3,00:32.525000,15,9,3,1,00:44.979000,22
6,,15,WALKER Matt,TREK FACTORY RACING DH,10011016756,GBR,1999,57.816,36,3:46.453,+3.458,-,0:43.116,1,00:43.116000,1:42.819,7,00:59.703000,2:28.870,5,00:46.051000,3:01.799,6,00:32.929000,1,10,14,7,00:44.654000,15
7,,110,ZWAR Oliver,ORBEA / FMD RACING,10008106857,SWE,1995,59.559,15,3:46.618,+3.623,-,0:43.715,8,00:43.715000,1:43.003,8,00:59.288000,2:29.630,11,00:46.627000,3:02.528,8,00:32.898000,8,7,23,5,00:44.090000,3
8,,34,REVELLI Loris,N/A,10009443942,ITA,1997,60.925,6,3:46.727,+3.732,-,0:43.903,12,00:43.903000,1:44.248,14,01:00.345000,2:29.858,12,00:45.610000,3:03.089,9,00:33.231000,12,19,8,10,00:43.638000,1
9,,17,WILLIAMS Jordan *,SPECIALIZED GRAVITY,10083936306,GBR,2004,61.714,5,3:47.104,+4.109,-,0:43.545,7,00:43.545000,1:45.600,25,01:02.055000,2:30.329,14,00:44.729000,3:03.229,11,00:32.900000,7,42,2,6,00:43.875000,2
10,,42,CASTELLANOS LIBERAL Daniel *,N/A,10081562028,ESP,2005,58.824,21,3:47.592,+4.597,-,0:44.553,24,00:44.553000,1:44.864,19,01:00.311000,2:30.921,18,00:46.057000,3:03.488,12,00:32.567000,22,18,15,2,00:44.104000,4
11,,25,MAES Martin,ORBEA / FMD RACING,10009453945,BEL,1997,60.022,13,3:47.689,+4.694,-,0:43.970,13,00:43.970000,1:43.730,10,00:59.760000,2:29.996,13,00:46.266000,3:03.095,10,00:33.099000,13,12,21,8,00:44.594000,14
12,,5,HART Danny,NORCO RACE DIVISION,10005470073,GBR,1991,62.864,2,3:48.243,+5.248,-,0:43.763,9,00:43.763000,1:42.632,5,00:58.869000,2:29.271,8,00:46.639000,3:03.500,13,00:34.229000,9,3,24,29,00:44.743000,17
13,,32,PENE Tuhoto-Ariki,MS-RACING,10022183274,NZL,2001,57.103,41,3:48.678,+5.683,-,0:43.478,6,00:43.478000,1:44.677,16,01:01.199000,2:30.759,16,00:46.082000,3:03.875,14,00:33.116000,6,32,16,9,00:44.803000,19
14,,71,A'HERN Kye,KENDA NS BIKES UR TEAM,10043853983,AUS,2001,60.313,12,3:48.807,+5.812,-,0:44.267,19,00:44.267000,1:44.684,17,01:00.417000,2:30.558,15,00:45.874000,3:04.326,15,00:33.768000,18,22,12,18,00:44.481000,11
15,,33,CONNELLY Jackson *,THE ALLIANCE,10114106942,AUS,2004,57.631,39,3:49.070,+6.075,-,0:45.010,30,00:45.010000,1:45.174,21,01:00.164000,2:30.792,17,00:45.618000,3:04.730,16,00:33.938000,28,16,9,21,00:44.340000,9
16,,40,WAYMAN Luke *,CONTINENTAL ATHERTON,10122961426,NZL,2006,58.547,29,3:50.408,+7.413,-,0:44.826,27,00:44.826000,1:45.575,24,01:00.749000,2:31.513,21,00:45.938000,3:05.630,19,00:34.117000,25,23,13,24,00:44.778000,18
17,,59,HOLGUIN VILLA Sebastian *,MS-RACING,10035267059,COL,2004,58.696,24,3:50.690,+7.695,-,0:45.398,37,00:45.398000,1:46.504,33,01:01.106000,2:32.171,23,00:45.667000,3:05.669,20,00:33.498000,35,30,11,13,00:45.021000,23
18,,28,ESTAQUE Thomas,GOODMAN SANTACRUZ,10008848505,FRA,1996,60.651,9,3:51.003,+8.008,-,0:45.207,32,00:45.207000,1:46.107,29,01:00.900000,2:32.356,24,00:46.249000,3:06.716,24,00:34.360000,30,26,20,33,00:44.287000,8
19,,11,WILSON Reece,AON RACING - TOURNE CAMPERVANS,10009563271,GBR,1996,57.981,34,3:51.159,+8.164,-,0:44.576,25,00:44.576000,1:44.711,18,01:00.135000,2:31.701,22,00:46.990000,3:05.901,22,00:34.200000,23,15,32,27,00:45.258000,25
20,,56,SLOAN Carter *,N/A,10113898895,AUS,2006,59.038,19,3:51.206,+8.211,-,0:44.284,20,00:44.284000,1:44.648,15,01:00.364000,2:31.094,19,00:46.446000,3:05.045,17,00:33.951000,19,21,22,22,00:46.161000,34
21,,81,MARINI Hugo *,SCOTT DOWNHILL FACTORY,10072798379,FRA,2005,62.962,1,3:51.273,+8.278,-,0:43.820,11,00:43.820000,1:42.817,6,00:58.997000,2:28.995,7,00:46.178000,3:02.517,7,00:33.522000,11,4,17,14,00:48.756000,50
22,,22,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,56.762,46,3:51.388,+8.393,-,0:43.791,10,00:43.791000,1:45.077,20,01:01.286000,2:31.276,20,00:46.199000,3:05.440,18,00:34.164000,10,35,18,26,00:45.948000,31
23,,64,PIERRON Baptiste,N/A,10008586504,FRA,1993,58.866,20,3:51.504,+8.509,-,0:45.142,31,00:45.142000,1:45.496,23,01:00.354000,2:32.446,25,00:46.950000,3:05.810,21,00:33.364000,29,20,29,12,00:45.694000,27
24,,107,CRUZ Lucas,NORCO RACE DIVISION,10051902761,CAN,2001,62.500,3,3:51.845,+8.850,-,0:46.122,46,00:46.122000,1:45.777,28,00:59.655000,2:32.493,26,00:46.716000,3:07.327,27,00:34.834000,43,8,26,39,00:44.518000,12
25,,24,RUDE JR Richard,YETI / FOX FACTORY RACE TEAM,10007546378,USA,1995,58.357,30,3:51.882,+8.887,-,0:45.390,36,00:45.390000,1:45.638,26,01:00.248000,2:32.889,29,00:47.251000,3:06.844,25,00:33.955000,34,17,35,23,00:45.038000,24
26,,75,JEWETT Dane *,GIANT FACTORY OFF-ROAD TEAM - DH,10094193347,CAN,2006,60.925,6,3:52.241,+9.246,-,0:45.770,42,00:45.770000,1:46.530,34,01:00.760000,2:32.761,28,00:46.231000,3:06.512,23,00:33.751000,39,24,19,17,00:45.729000,29
27,,68,KIRK Rory *,N/A,10104783323,RSA,2003,60.856,8,3:52.279,+9.284,-,0:45.865,44,00:45.865000,1:46.951,37,01:01.086000,2:33.916,33,00:46.965000,3:07.686,30,00:33.770000,41,29,30,19,00:44.593000,13
28,,90,LEHMANN Lino,N/A,10094455247,SUI,2002,62.188,4,3:52.489,+9.494,-,0:44.687,26,00:44.687000,1:47.211,38,01:02.524000,2:33.947,34,00:46.736000,3:08.224,31,00:34.277000,24,45,27,30,00:44.265000,6
