rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
45,,75,JEWETT Dane *,GIANT FACTORY OFF-ROAD TEAM - DH,10094193347,CAN,2006,61.155,11,3:53.881,+11.660,-,0:44.843,49,00:44.843000,1:45.662,43,01:00.819000,2:31.871,40,00:46.209000,3:05.766,37,00:33.895000,46,44,33,35,00:48.115000,75
46,,40,WAYMAN Luke *,CONTINENTAL ATHERTON,10122961426,NZL,2006,58.696,35,3:53.957,+11.736,-,0:45.047,53,00:45.047000,1:47.125,52,01:02.078000,2:33.950,46,00:46.825000,3:09.019,49,00:35.069000,50,58,45,57,00:44.938000,23
47,,20,STEVENS-MCNAB Lachlan *,TREK FACTORY RACING DH,10110184506,NZL,2004,60.178,17,3:54.385,+12.164,-,0:43.951,30,00:43.951000,1:43.348,22,00:59.397000,2:35.068,54,00:51.720000,3:09.264,51,00:34.196000,29,21,78,44,00:45.121000,29
48,,60,CAPPELLO Davide *,ROGUE RACING - SR SUNTOUR,10032715353,ITA,2004,58.696,35,3:54.712,+12.491,-,0:44.502,44,00:44.502000,1:45.136,40,01:00.634000,2:32.510,41,00:47.374000,3:07.785,42,00:35.275000,42,38,54,60,00:46.927000,64
49,,79,THURLOW Luca *,N/A,10083936205,GBR,2005,57.569,61,3:55.033,+12.812,-,0:45.867,68,00:45.867000,1:47.406,55,01:01.539000,2:34.695,51,00:47.289000,3:09.392,52,00:34.697000,64,48,50,52,00:45.641000,44
50,,84,LAMARIS Marco *,N/A,10128344623,GER,2006,57.940,52,3:55.065,+12.844,-,0:45.423,61,00:45.423000,1:47.770,58,01:02.347000,2:35.037,53,00:47.267000,3:10.471,58,00:35.434000,58,62,49,63,00:44.594000,12
51,,68,KIRK Rory *,N/A,10104783323,RSA,2003,57.508,63,3:55.287,+13.066,-,0:46.495,74,00:46.495000,1:48.116,62,01:01.621000,2:35.682,57,00:47.566000,3:09.885,53,00:34.203000,70,50,56,45,00:45.402000,38
52,,35,SUAREZ ALONSO Angel,FRAMEWORKS RACING / 5DEV,10008831529,ESP,1995,60.516,13,3:55.415,+13.194,-,0:45.082,55,00:45.082000,1:47.873,60,01:02.791000,2:35.181,56,00:47.308000,3:09.254,50,00:34.073000,52,68,51,42,00:46.161000,52
53,,92,GARCIA AYORA Ignacio *,MONDRAKER FACTORY RACING DH,10089115702,ESP,2006,57.713,56,3:55.456,+13.235,-,0:47.883,85,00:47.883000,1:50.165,71,01:02.282000,2:36.660,64,00:46.495000,3:10.014,56,00:33.354000,80,60,41,20,00:45.442000,39
54,,59,HOLGUIN VILLA Sebastian *,MS-RACING,10035267059,COL,2004,57.857,54,3:56.129,+13.908,-,0:45.539,65,00:45.539000,1:47.319,54,01:01.780000,2:34.936,52,00:47.617000,3:09.957,55,00:35.021000,62,54,57,55,00:46.172000,53
55,,70,LANER Jan,N/A,10032479018,ITA,2002,59.189,27,3:56.222,+14.001,-,0:45.474,63,00:45.474000,1:47.792,59,01:02.318000,2:35.107,55,00:47.315000,3:10.392,57,00:35.285000,60,61,52,61,00:45.830000,47
56,,55,WALLACE Mark,N/A,10008172636,CAN,1995,57.651,59,3:56.400,+14.179,-,0:46.205,71,00:46.205000,1:48.131,64,01:01.926000,2:35.872,59,00:47.741000,3:09.935,54,00:34.063000,67,56,58,41,00:46.465000,59
57,,89,MEEK Toby *,N/A,10064077170,NZL,2004,56.822,69,3:57.038,+14.817,-,0:44.119,34,00:44.119000,1:46.169,47,01:02.050000,2:35.978,60,00:49.809000,3:10.691,59,00:34.713000,33,57,74,53,00:46.347000,55
58,,93,GRIFFITH Ryan *,PIVOT FACTORY RACING,10083250737,CAN,2006,57.651,59,3:57.091,+14.870,-,0:45.509,64,00:45.509000,1:48.201,65,01:02.692000,2:35.760,58,00:47.559000,3:10.980,60,00:35.220000,61,67,55,59,00:46.111000,50
59,,15,WALKER Matt,TREK FACTORY RACING DH,10011016756,GBR,1999,58.085,49,3:57.758,+15.537,-,0:42.805,3,00:42.805000,1:53.704,81,01:10.899000,2:39.332,74,00:45.628000,3:12.819,67,00:33.487000,3,83,20,24,00:44.939000,24
60,,45,SMESTAD Simen,N/A,10010119811,NOR,1998,56.663,72,3:58.655,+16.434,-,0:47.517,84,00:47.517000,1:50.143,70,01:02.626000,2:38.004,69,00:47.861000,3:12.286,64,00:34.282000,79,66,59,47,00:46.369000,57
61,,72,FALQUET Mylann *,GOODMAN SANTACRUZ,10056597258,FRA,2006,58.931,31,3:58.973,+16.752,-,0:44.964,51,00:44.964000,1:46.653,50,01:01.689000,2:34.662,50,00:48.009000,3:12.367,65,00:37.705000,48,53,62,79,00:46.606000,60
62,,61,VIEIRA Douglas,N/A,10010126679,BRA,1998,56.902,68,3:59.543,+17.322,-,0:45.440,62,00:45.440000,1:49.078,68,01:03.638000,2:37.211,65,00:48.133000,3:11.565,62,00:34.354000,59,71,66,48,00:47.978000,74
63,,101,MASTERS Wyn,N/A,10004406107,NZL,1987,57.919,53,3:59.601,+17.380,-,0:46.090,70,00:46.090000,1:49.021,67,01:02.931000,2:37.902,68,00:48.881000,3:12.536,66,00:34.634000,66,69,70,51,00:47.065000,65
64,,94,ERVIN Tyler,N/A,10065700306,USA,2002,58.190,47,3:59.692,+17.471,-,0:45.224,59,00:45.224000,1:47.575,56,01:02.351000,2:37.270,66,00:49.695000,3:12.819,67,00:35.549000,56,63,72,68,00:46.873000,63
65,,67,LEHMANN Janis,N/A,10010012303,SUI,1998,57.528,62,3:59.693,+17.472,-,0:46.582,76,00:46.582000,1:49.172,69,01:02.590000,2:37.869,67,00:48.697000,3:12.899,69,00:35.030000,72,64,69,56,00:46.794000,62
66,,74,SCHNÖLLER Kilian,N/A,10035154804,AUT,2001,56.191,77,3:59.936,+17.715,-,0:46.220,72,00:46.220000,1:47.892,61,01:01.672000,2:36.001,61,00:48.109000,3:11.788,63,00:35.787000,68,52,65,71,00:48.148000,76
67,,96,OSTFELD Roee *,N/A,10117608541,ISR,2006,54.674,83,4:01.723,+19.502,-,0:46.680,78,00:46.680000,1:50.319,72,01:03.639000,2:38.788,71,00:48.469000,3:14.232,70,00:35.444000,73,72,67,64,00:47.491000,71
68,,97,BAECHLER Nicolas *,N/A,10077181971,SUI,2003,56.762,71,4:03.659,+21.438,-,0:46.685,79,00:46.685000,1:50.556,75,01:03.871000,2:39.767,75,00:49.211000,3:16.484,73,00:36.717000,74,73,71,73,00:47.175000,68
69,,80,NEITZKE Matheus Braian,N/A,10091680946,BRA,1999,55.423,81,4:03.775,+21.554,-,0:46.864,81,00:46.864000,1:51.261,77,01:04.397000,2:39.253,73,00:47.992000,3:16.425,72,00:37.172000,76,74,61,75,00:47.350000,70
70,,57,STEINER Julian,N/A,10008123732,GER,1994,57.508,63,4:04.439,+22.218,-,0:46.856,80,00:46.856000,1:51.484,78,01:04.628000,2:41.270,76,00:49.786000,3:17.260,74,00:35.990000,75,75,73,72,00:47.179000,69
71,,63,BURNS CONTRERAS Pedro,N/A,10010632190,CHI,1997,56.446,75,4:04.726,+22.505,-,0:47.466,83,00:47.466000,1:53.570,79,01:06.104000,2:42.099,77,00:48.529000,3:17.628,75,00:35.529000,78,78,68,66,00:47.098000,66
72,,62,GARCIN Johan,N/A,10056657377,FRA,2002,58.315,45,4:06.744,+24.523,-,0:45.163,58,00:45.163000,1:54.498,83,01:09.335000,2:42.480,78,00:47.982000,3:20.133,77,00:37.653000,55,82,60,78,00:46.611000,61
73,,43,NORTON Dakotah,MONDRAKER FACTORY RACING DH,10010038167,USA,1992,58.696,35,4:08.562,+26.341,-,0:43.968,31,00:43.968000,1:44.143,28,01:00.175000,2:30.617,29,00:46.474000,3:04.627,30,00:34.010000,30,32,40,40,01:03.935000,86
74,,106,PERRAUDIN Marius,N/A,10088322524,SUI,2002,56.584,73,4:08.984,+26.763,-,0:48.325,86,00:48.325000,1:54.109,82,01:05.784000,2:44.337,80,00:50.228000,3:21.127,78,00:36.790000,81,77,76,74,00:47.857000,73
75,,104,PARKER Drake *,N/A,10118395958,USA,2006,54.564,85,4:09.149,+26.928,-,0:45.982,69,00:45.982000,1:48.121,63,01:02.139000,2:36.175,62,00:48.054000,3:11.351,61,00:35.176000,65,59,63,58,00:57.798000,83
76,,19,PIERRON Antoine,COMMENCAL SCHWALBE BY LES ORRES,10011102844,FRA,1999,52.444,87,4:10.297,+28.076,-,0:43.283,10,00:43.283000,1:41.219,2,00:57.936000,2:26.176,3,00:44.957000,3:08.483,47,00:42.307000,10,1,5,83,01:01.814000,85
77,,98,DAVIS Braedyn *,N/A,10131433364,USA,2006,54.582,84,4:13.235,+31.014,-,0:48.679,88,00:48.679000,1:53.609,80,01:04.930000,2:43.780,79,00:50.171000,3:19.311,76,00:35.531000,83,76,75,67,00:53.924000,82
78,,102,CONROY Sam *,N/A,10124098346,GBR,2005,58.023,51,4:13.412,+31.191,-,0:46.976,82,00:46.976000,1:50.507,74,01:03.531000,2:38.606,70,00:48.099000,3:14.366,71,00:35.760000,77,70,64,69,00:59.046000,84
79,,88,FAYOLLE Alexandre,KENDA NS BIKES UR TEAM,10008168996,FRA,1995,58.973,30,4:14.026,+31.805,-,0:46.511,75,00:46.511000,1:54.983,84,01:08.472000,2:46.979,81,00:51.996000,3:24.280,79,00:37.301000,71,79,79,77,00:49.746000,79
80,,109,GAWRONEK Mikolaj *,N/A,10130445176,POL,2006,55.102,82,4:15.529,+33.308,-,0:48.700,89,00:48.700000,1:57.620,86,01:08.920000,2:49.793,82,00:52.173000,3:27.073,80,00:37.280000,84,80,80,76,00:48.456000,77
81,,108,VELLUTINO MALAGA Lucio *,N/A,10084357345,PER,2004,55.498,80,4:18.463,+36.242,-,0:49.651,90,00:49.651000,1:58.801,87,01:09.150000,2:51.150,83,00:52.349000,3:28.950,81,00:37.800000,85,81,81,80,00:49.513000,78
82,,17,WILLIAMS Jordan *,SPECIALIZED GRAVITY,10083936306,GBR,2004,55.708,79,4:26.339,+44.118,-,0:42.804,2,00:42.804000,1:55.486,85,01:12.682000,3:02.909,87,01:07.423000,3:38.687,83,00:35.778000,2,85,84,70,00:47.652000,72
83,,83,TURBA Albertas,N/A,10082534654,LTU,1994,52.444,87,4:32.395,+50.174,-,0:50.535,92,00:50.535000,2:03.075,89,01:12.540000,2:58.884,85,00:55.809000,3:40.933,84,00:42.049000,86,84,83,82,00:51.462000,80
84,,14,KIEFER Henri *,CANYON CLLCTV FACTORY TEAM,10080400048,GER,2005,57.224,66,4:50.632,+1:08.411,-,0:48.525,87,00:48.525000,1:51.135,76,01:02.610000,3:01.841,86,01:10.706000,4:04.225,85,01:02.384000,82,65,85,86,00:46.407000,58
85,,33,CONNELLY Jackson *,THE ALLIANCE,10114106942,AUS,2004,57.345,65,5:01.362,+1:19.141,-,0:44.257,40,00:44.257000,2:18.232,90,01:33.975000,3:12.190,88,00:53.958000,4:14.199,89,01:02.009000,39,86,82,85,00:47.163000,67
86,,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,31.524,89,5:05.792,+1:23.571,-,0:43.631,16,00:43.631000,1:42.678,17,00:59.047000,3:28.488,89,01:45.810000,4:13.075,87,00:44.587000,15,17,86,84,00:52.717000,81
