rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
27,,42,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,56.508,18,3:04.713,+4.846,33,0:40.257,30,00:40.257000,1:29.427,26,00:49.170000,1:54.542,26,00:25.115000,2:39.195,22,00:44.653000,30,22,32,15,00:25.518000,48
28,,179,SLACK Dan *,POLE FACTORY RACING,10088103464,GBR,2002,52.332,56,3:04.936,+5.069,32,0:40.433,36,00:40.433000,1:28.951,16,00:48.518000,1:54.279,23,00:25.328000,2:39.568,23,00:45.289000,36,4,37,37,00:25.368000,43
29,,62,LEVESQUE Dylan,SCOTT DOWNHILL FACTORY,10008831731,FRA,1996,56.730,17,3:05.388,+5.521,31,0:39.928,22,00:39.928000,1:30.180,37,00:50.252000,1:55.633,36,00:25.453000,2:40.141,30,00:44.508000,22,44,43,13,00:25.247000,39
30,,32,KUHN Bodhi *,TREK FACTORY RACING GRAVITY,10080855241,CAN,2005,54.788,39,3:05.526,+5.659,30,0:40.066,26,00:40.066000,1:30.142,34,00:50.076000,1:55.367,34,00:25.225000,2:40.618,32,00:45.251000,26,40,34,34,00:24.908000,26
31,,71,PALAZZARI Davide,THE GRAVITY CARTEL - ROGUE RACING,10010022205,ITA,1995,54.684,42,3:05.846,+5.979,29,0:40.842,49,00:40.842000,1:31.524,49,00:50.682000,1:56.157,41,00:24.633000,2:41.574,38,00:45.417000,49,50,16,39,00:24.272000,7
32,,127,CRUZ Tegan *,KENDA NS BIKES UR TEAM,10051476062,CAN,2005,55.886,26,3:06.086,+6.219,28,0:40.811,45,00:40.811000,1:30.722,40,00:49.911000,1:55.955,39,00:25.233000,2:41.074,35,00:45.119000,45,37,35,31,00:25.012000,30
33,,74,WALLACE Mark,WE ARE ONE MOMENTUM PROJECT,10008172636,CAN,1995,55.670,27,3:06.214,+6.347,27,0:40.618,42,00:40.618000,1:31.381,47,00:50.763000,1:56.663,45,00:25.282000,2:41.659,41,00:44.996000,42,52,36,26,00:24.555000,14
34,,163,BARANEK Rastislav,N/A,10008169806,SVK,1995,54.305,50,3:06.261,+6.394,26,0:40.351,33,00:40.351000,1:29.989,33,00:49.638000,1:55.589,35,00:25.600000,2:40.852,33,00:45.263000,33,31,50,35,00:25.409000,44
35,,101,ROGGE Antoine *,LAPIERRE ZIPP COLLECTIVE,10078163590,FRA,2002,54.753,41,3:06.306,+6.439,25,0:39.952,24,00:39.952000,1:29.719,31,00:49.767000,1:55.113,32,00:25.394000,2:41.597,39,00:46.484000,24,33,40,55,00:24.709000,18
36,,56,LALY Thibault,GOODMAN SANTACRUZ,10009533464,FRA,1997,54.408,49,3:06.430,+6.563,24,0:40.076,27,00:40.076000,1:29.292,22,00:49.216000,1:54.801,28,00:25.509000,2:40.989,34,00:46.188000,27,23,46,52,00:25.441000,45
