rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
25,,45,HARTENSTERN Max,CUBE FACTORY RACING,10011213584,GER,1999,54.545,52,3:31.247,+6.925,35,0:33.415,24,00:33.415000,1:27.785,23,00:54.370000,2:23.563,21,00:55.778000,2:59.715,23,00:36.152000,21,23,18,38,00:31.532000,13
26,,52,INTROZZI Stefano,N/A,10032121027,ITA,2000,54.381,55,3:31.439,+7.117,34,0:33.445,26,00:33.445000,1:28.023,24,00:54.578000,2:24.152,25,00:56.129000,2:59.250,20,00:35.098000,23,26,26,14,00:32.189000,41
27,,51,DOOLEY Austin *,COMMENCAL / SCHWALBE,10087908151,USA,2002,58.584,1,3:31.610,+7.288,33,0:33.426,25,00:33.426000,1:28.207,28,00:54.781000,2:24.440,29,00:56.233000,3:00.143,24,00:35.703000,22,30,29,27,00:31.467000,11
28,,32,KUHN Bodhi *,TREK FACTORY RACING GRAVITY,10080855241,CAN,2005,55.470,35,3:31.745,+7.423,32,0:34.168,54,00:34.168000,1:29.125,42,00:54.957000,2:24.398,28,00:55.273000,3:00.180,25,00:35.782000,50,33,11,31,00:31.565000,15
29,,29,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,57.462,5,3:31.939,+7.617,31,0:33.511,32,00:33.511000,1:28.394,34,00:54.883000,2:24.460,30,00:56.066000,3:00.210,26,00:35.750000,28,32,24,29,00:31.729000,22
30,,44,MINNAAR Greg,NORCO FACTORY RACING,10002818640,RSA,1981,56.648,15,3:32.303,+7.981,30,0:32.914,7,00:32.914000,1:26.961,15,00:54.047000,2:24.878,32,00:57.917000,3:00.606,27,00:35.728000,6,15,45,28,00:31.697000,21
31,,70,LALY Thibault,GOODMAN SANTACRUZ,10009533464,FRA,1997,57.416,6,3:32.637,+8.315,29,0:33.164,17,00:33.164000,1:28.502,35,00:55.338000,2:25.118,34,00:56.616000,3:00.904,29,00:35.786000,14,38,32,32,00:31.733000,24
32,,105,MCDOWALL Kirk,N/A,10008617119,CAN,1990,55.901,27,3:32.828,+8.506,28,0:33.729,42,00:33.729000,1:29.220,43,00:55.491000,2:25.852,38,00:56.632000,3:00.975,31,00:35.123000,38,42,33,16,00:31.853000,27
33,,85,INIGUEZ Matteo,COMMENCAL ICSTUDIO,10066506012,FRA,2001,55.215,39,3:32.900,+8.578,27,0:33.528,33,00:33.528000,1:28.102,27,00:54.574000,2:25.364,35,00:57.262000,3:00.782,28,00:35.418000,29,25,40,22,00:32.118000,38
34,,39,A'HERN Kye,KENDA NS BIKES UR TEAM,10043853983,AUS,2001,55.988,25,3:33.259,+8.937,26,0:33.549,36,00:33.549000,1:29.277,46,00:55.728000,2:26.008,40,00:56.731000,3:01.528,32,00:35.520000,32,45,36,25,00:31.731000,23
35,,22,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,54.878,46,3:33.294,+8.972,25,0:33.286,21,00:33.286000,1:27.366,20,00:54.080000,2:23.685,22,00:56.319000,3:00.941,30,00:37.256000,18,16,31,52,00:32.353000,49
36,,76,CASTELLANOS LIBERAL Daniel *,N/A,10081562028,ESP,2005,54.711,48,3:33.789,+9.467,24,0:34.905,60,00:34.905000,1:30.915,59,00:56.010000,2:26.416,42,00:55.501000,3:01.562,33,00:35.146000,55,49,14,17,00:32.227000,43
38,,72,PENE Tuhoto-Ariki,MS INTENSE RACING,10022183274,NZL,2001,55.088,41,3:33.923,+9.601,22,0:33.306,22,00:33.306000,1:28.739,39,00:55.433000,2:25.503,36,00:56.764000,3:02.292,37,00:36.789000,19,41,37,46,00:31.631000,16
74,WALLACE,WALLACE,Mark,N/A,10008172636,CAN,1995,54.258,56,3:34.168,+9.846,20,0:34.416,57,00:34.416000,1:29.730,49,00:55.314000,2:25.919,39,00:56.189000,3:01.836,34,00:35.917000,52,37,28,35,00:32.332000,47
41,,109,THURLOW Luca *,TRIPLE FIVE RACING,10083936205,GBR,2005,56.031,24,3:34.191,+9.869,19,0:34.319,55,00:34.319000,1:29.678,48,00:55.359000,2:26.340,41,00:56.662000,3:01.976,35,00:35.636000,51,39,34,26,00:32.215000,42
42,,28,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,56.693,14,3:34.687,+10.365,18,0:34.445,58,00:34.445000,1:35.064,60,01:00.619000,2:29.626,57,00:54.562000,3:03.213,40,00:33.587000,53,56,2,1,00:31.474000,12
43,,95,SMESTAD Simen,N/A,10010119811,NOR,1998,56.206,20,3:35.035,+10.713,17,0:33.987,49,00:33.987000,1:29.416,47,00:55.429000,2:26.755,45,00:57.339000,3:03.101,39,00:36.346000,45,40,42,41,00:31.934000,33
44,,60,RUDE JR Richard,YETI / FOX FACTORY RACE TEAM,10007546378,USA,1995,53.731,57,3:35.057,+10.735,16,0:33.808,44,00:33.808000,1:28.077,26,00:54.269000,2:25.096,33,00:57.019000,3:02.671,38,00:37.575000,40,20,38,53,00:32.386000,50
45,,118,GRISEL Léo *,N/A,10069990332,FRA,2002,54.422,54,3:35.495,+11.173,15,0:34.075,52,00:34.075000,1:28.319,31,00:54.244000,2:25.600,37,00:57.281000,3:02.137,36,00:36.537000,48,19,41,42,00:33.358000,55
46,,26,DAPRELA Thibaut,N/A,10072798480,FRA,2001,54.711,48,3:35.756,+11.434,14,0:33.139,15,00:33.139000,1:27.508,21,00:54.369000,2:23.381,19,00:55.873000,3:03.987,46,00:40.606000,12,22,21,55,00:31.769000,25
47,,78,BANDEIRA Gonçalo *,SCOTT DOWNHILL FACTORY,10054661096,POR,2002,56.206,20,3:35.770,+11.448,13,0:33.890,47,00:33.890000,1:30.063,52,00:56.173000,2:27.224,47,00:57.161000,3:03.499,41,00:36.275000,43,51,39,39,00:32.271000,44
48,,134,MACDONALD Brook,FORBIDDEN SYNTHESIS TEAM,10006429969,NZL,1991,55.427,36,3:35.789,+11.467,12,0:33.778,43,00:33.778000,1:28.954,40,00:55.176000,2:26.743,44,00:57.789000,3:03.865,44,00:37.122000,39,36,44,51,00:31.924000,31
49,,64,BRAYTON Adam,BNC RACING,10005386110,GBR,1988,55.046,42,3:35.846,+11.524,11,0:33.482,29,00:33.482000,1:29.273,45,00:55.791000,2:27.210,46,00:57.937000,3:03.920,45,00:36.710000,25,46,46,44,00:31.926000,32
50,,186,MASTERS Wyn,THE GRAVITY CARTEL - ROGUE RACING,10004406107,NZL,1987,54.878,46,3:35.982,+11.660,10,0:33.809,45,00:33.809000,1:30.111,54,00:56.302000,2:27.885,50,00:57.774000,3:03.703,43,00:35.818000,41,52,43,34,00:32.279000,46
51,,56,VIDAL Antoine,COMMENCAL LES ORRES,10070590924,FRA,2001,55.771,30,3:36.167,+11.845,5,0:33.529,34,00:33.529000,1:28.374,33,00:54.845000,2:29.317,56,01:00.943000,3:04.788,49,00:35.471000,30,31,54,23,00:31.379000,7
52,,164,CAPPELLO Davide *,THE GRAVITY CARTEL - ROGUE RACING,10032715353,ITA,2004,54.545,52,3:36.370,+12.048,5,0:33.663,41,00:33.663000,1:28.639,37,00:54.976000,2:28.649,54,01:00.010000,3:04.447,48,00:35.798000,37,34,53,33,00:31.923000,30
53,,98,VIARDOT Kimi *,K BIKE,10069254041,FRA,2005,55.300,37,3:36.422,+12.100,5,0:34.733,59,00:34.733000,1:30.715,58,00:55.982000,2:27.429,48,00:56.714000,3:03.539,42,00:36.110000,54,48,35,37,00:32.883000,53
54,,81,ABELLA Léo *,COMMENCAL LES ORRES,10057059828,FRA,2005,56.382,18,3:36.503,+12.181,5,0:33.367,23,00:33.367000,1:29.270,44,00:55.903000,2:28.217,52,00:58.947000,3:04.833,50,00:36.616000,20,47,50,43,00:31.670000,19
55,,49,SILVA Dante *,CANYON CLLCTV PIRELLI,10071893653,USA,2002,54.711,48,3:36.576,+12.254,5,0:33.539,35,00:33.539000,1:28.257,30,00:54.718000,2:27.501,49,00:59.244000,3:04.304,47,00:36.803000,31,29,51,47,00:32.272000,45
56,,106,ERLANGSEN Theo,N/A,10008867400,RSA,1995,56.426,17,3:37.425,+13.103,5,0:34.048,51,00:34.048000,1:30.090,53,00:56.042000,2:28.442,53,00:58.352000,3:05.541,51,00:37.099000,47,50,48,50,00:31.884000,29
57,,165,BOTTERAM Tristan,N/A,10063915001,NED,2000,55.944,26,3:38.140,+13.818,5,0:34.133,53,00:34.133000,1:30.630,57,00:56.497000,2:29.224,55,00:58.594000,3:06.288,52,00:37.064000,49,54,49,49,00:31.852000,26
58,,166,EDMONDSON Jamie,BNC RACING,10023865620,GBR,2001,56.338,19,3:38.695,+14.373,5,0:33.631,40,00:33.631000,1:29.949,51,00:56.318000,2:28.011,51,00:58.062000,3:06.749,53,00:38.738000,36,53,47,54,00:31.946000,34
59,,180,INIGUEZ Raphael *,COMMENCAL ICSTUDIO,10066506113,FRA,2003,55.046,42,3:39.232,+14.910,5,0:33.953,48,00:33.953000,1:30.621,56,00:56.668000,2:29.930,58,00:59.309000,3:06.892,54,00:36.962000,44,55,52,48,00:32.340000,48
60,,47,KERR Henry,CANYON CLLCTV PIRELLI,10023914524,IRL,2000,53.571,58,3:57.521,+33.199,5,0:34.939,61,00:34.939000,1:30.479,55,00:55.540000,2:47.709,59,01:17.230000,3:24.436,55,00:36.727000,56,44,55,45,00:33.085000,54
61,P,19,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,47.213,60,5:14.594,+1:50.272,5,0:32.813,6,00:32.813000,1:27.004,17,00:54.191000,3:32.290,60,02:05.286000,4:39.704,56,01:07.414000,5,18,56,56,00:34.890000,56
